sim	fam id	dlcpar and k = .001 cost	dlcpar and k = .001 runtime	dlcpar and k = 10 cost	dlcpar and k = 10 runtime	dlclp cost	dlclp runtime
10e6-1x	95	2.000000	0.060237	2.000000	0.066580	2.000000	0.871850
10e6-1x	96	1.000000	0.050505	1.000000	0.054599	1.000000	0.468437
10e6-1x	97	0.500000	0.053533	0.500000	0.054468	0.500000	0.404243
10e6-1x	98	1.500000	0.074822	1.500000	0.072981	1.500000	0.647265
10e6-1x	99	0.000000	0.048141	0.000000	0.052795	0.000000	0.286880
10e6-1x	100	3.000000	0.042766	3.000000	0.048856	3.000000	0.296038
10e6-1x	101	0.500000	0.056853	0.500000	0.053158	0.500000	0.398067
10e6-1x	102	0.500000	0.056539	0.500000	0.057602	0.500000	0.378759
10e6-1x	103	0.500000	0.053583	0.500000	0.050049	0.500000	0.429068
10e6-1x	104	2.500000	0.051707	2.500000	0.055869	2.500000	0.512906
10e6-1x	105	2.000000	0.059845	2.000000	0.062636	2.000000	0.483139
10e6-1x	106	0.000000	0.036807	0.000000	0.041680	0.000000	0.150212
10e6-1x	107	2.000000	0.059810	2.000000	0.061656	2.000000	0.892575
10e6-1x	108	2.001000	0.075043	2.500000	0.077839	2.000000	0.698875
10e6-1x	109	3.000000	0.039086	3.000000	0.045381	3.000000	0.236137
10e6-1x	110	3.000000	0.036961	3.000000	0.036289	3.000000	0.187121
10e6-1x	111	1.000000	0.043643	1.000000	0.043283	1.000000	0.240848
10e6-1x	116	1.500000	0.052905	1.500000	0.049653	1.500000	0.336769
10e6-1x	117	1.500000	0.061505	1.500000	0.059506	1.500000	0.572456
10e6-1x	118	3.000000	0.051016	3.000000	0.053957	3.000000	0.375958
10e6-1x	119	1.000000	0.032956	1.000000	0.033442	1.000000	0.128751
10e6-1x	120	0.500000	0.051811	0.500000	0.055283	0.500000	0.354619
10e6-1x	121	0.500000	0.058136	0.500000	0.050623	0.500000	0.387941
10e6-1x	126	0.500000	0.055081	0.500000	0.050637	0.500000	0.391303
10e6-1x	127	0.500000	0.054464	0.500000	0.056010	0.500000	0.353927
10e6-1x	128	2.500000	0.064349	2.500000	0.064819	2.500000	0.592117
10e6-1x	129	3.000000	0.056273	3.000000	0.052903	3.000000	0.673222
10e6-1x	130	0.500000	0.056620	0.500000	0.060714	0.500000	0.366759
10e6-1x	131	2.500000	0.062366	2.500000	0.057720	2.500000	0.943073
10e6-1x	132	1.000000	0.046007	1.000000	0.047340	1.000000	0.252274
10e6-1x	133	1.500000	0.053168	1.500000	0.053336	1.500000	0.351023
10e6-1x	134	1.500000	0.058360	1.500000	0.059113	1.500000	0.351946
10e6-1x	135	0.500000	0.055458	0.500000	0.058054	0.500000	0.357574
10e6-1x	136	0.000000	0.050160	0.000000	0.044878	0.000000	0.265820
10e6-1x	137	1.501000	0.087114	3.500000	0.086380	1.500000	1.314091
