sim	fam id	dlcpar and k = .001 cost	dlcpar and k = .001 runtime	dlcpar and k = 10 cost	dlcpar and k = 10 runtime	dlclp cost	dlclp runtime
10e6-1x	443	1.500000	0.049149	1.500000	0.049149	1.500000	0.358554
10e6-1x	444	2.000000	0.052182	2.000000	0.051484	2.000000	0.387915
10e6-1x	445	4.000000	0.069234	4.000000	0.068095	4.000000	1.506874
10e6-1x	446	2.000000	0.050169	2.000000	0.053686	2.000000	0.411326
10e6-1x	447	2.500000	0.054385	2.500000	0.048806	2.500000	0.377900
10e6-1x	448	0.500000	0.054153	0.500000	0.054705	0.500000	0.359329
10e6-1x	449	0.500000	0.061244	0.500000	0.058773	0.500000	0.372599
10e6-1x	450	1.500000	0.053389	1.500000	0.047494	1.500000	0.287554
10e6-1x	451	1.000000	0.056309	1.000000	0.056210	1.000000	0.497150
10e6-1x	452	1.500000	0.066699	1.500000	0.072962	1.500000	0.647905
10e6-1x	453	0.000000	0.045875	0.000000	0.048457	0.000000	0.263897
10e6-1x	454	0.000000	0.048623	0.000000	0.044393	0.000000	0.255526
10e6-1x	455	0.500000	0.060051	0.500000	0.055244	0.500000	0.407533
10e6-1x	456	1.000000	0.049624	1.000000	0.049595	1.000000	0.250426
10e6-1x	457	2.000000	0.048899	2.000000	0.042345	2.000000	0.321907
10e6-1x	458	0.000000	0.047539	0.000000	0.049009	0.000000	0.262324
10e6-1x	460	0.500000	0.055785	0.500000	0.051022	0.500000	0.398927
10e6-1x	462	4.500000	0.059499	4.500000	0.056596	4.500000	0.891526
10e6-1x	463	2.000000	0.086843	2.000000	0.079400	2.000000	0.927063
10e6-1x	464	1.000000	0.056440	1.000000	0.055376	1.000000	0.412243
10e6-1x	465	1.000000	0.040738	1.000000	0.040813	1.000000	0.208532
10e6-1x	467	1.500000	0.049997	1.500000	0.051540	1.500000	0.332059
10e6-1x	468	0.500000	0.052091	0.500000	0.050523	0.500000	0.394284
10e6-1x	469	0.000000	0.039285	0.000000	0.044124	0.000000	0.166134
10e6-1x	470	2.500000	0.062492	2.500000	0.061384	2.500000	0.994793
10e6-1x	471	2.500000	0.063071	2.500000	0.067525	2.500000	1.000318
10e6-1x	472	1.500000	0.050518	1.500000	0.057092	1.500000	0.366643
10e6-1x	473	0.000000	0.040765	0.000000	0.034703	0.000000	0.159549
10e6-1x	474	1.000000	0.060657	1.000000	0.055752	1.000000	0.480713
10e6-1x	475	2.500000	0.063434	2.500000	0.072306	2.500000	0.895673
10e6-1x	476	3.000000	0.060318	3.000000	0.067421	3.000000	0.758898
10e6-1x	477	1.500000	0.060036	1.500000	0.060806	1.500000	0.550594
10e6-1x	478	1.500000	0.069359	1.500000	0.077576	1.500000	0.610646
10e6-1x	479	2.000000	0.066940	2.000000	0.063348	2.000000	0.873879
10e6-1x	480	2.000000	0.057206	2.000000	0.056275	2.000000	0.439555
10e6-1x	481	1.000000	0.054369	1.000000	0.053497	1.000000	0.459141
10e6-1x	482	0.500000	0.057093	0.500000	0.060890	0.500000	0.362528
10e6-1x	483	1.000000	0.057242	1.000000	0.058282	1.000000	0.504200
10e6-1x	484	0.500000	0.053141	0.500000	0.057670	0.500000	0.356100
10e6-1x	485	0.500000	0.062271	0.500000	0.056816	0.500000	0.362958
10e6-1x	486	2.500000	0.075949	2.500000	0.069104	2.500000	1.329716
10e6-1x	487	0.000000	0.038794	0.000000	0.036065	0.000000	0.147523
10e6-1x	488	1.000000	0.057413	1.000000	0.059441	1.000000	0.519176
10e6-1x	489	3.000000	0.049148	3.000000	0.046729	3.000000	0.507501
10e6-1x	490	0.500000	0.051045	0.500000	0.054544	0.500000	0.391501
10e6-1x	491	1.500000	0.035648	1.500000	0.035473	1.500000	0.169235
10e6-1x	493	1.000000	0.053885	1.000000	0.047244	1.000000	0.469209
10e6-1x	494	1.500000	0.056532	1.500000	0.059972	1.500000	0.552106
